fighter1,fighter2,event,fight_outcome,origin_fight_url,fighter1_Name,fighter1_Nickname,fighter1_Record,fighter1_Height,fighter1_Weight,fighter1_Reach,fighter1_Stance,fighter1_DOB,fighter1_SLpM,fighter1_StrAcc,fighter1_SApM,fighter1_StrDef,fighter1_TDAvg,fighter1_TDAcc,fighter1_TDDef,fighter1_SubAvg,fighter2_Name,fighter2_Nickname,fighter2_Record,fighter2_Height,fighter2_Weight,fighter2_Reach,fighter2_Stance,fighter2_DOB,fighter2_SLpM,fighter2_StrAcc,fighter2_SApM,fighter2_StrDef,fighter2_TDAvg,fighter2_TDAcc,fighter2_TDDef,fighter2_SubAvg
Randy Brown,Mickey Gall,UFC 217: Bisping vs. St-Pierre,fighter1,http://ufcstats.com/fight-details/e686df21c24c6c03,Randy Brown,Rudeboy,Record: 19-6-0,"6' 3""",170 lbs.,"78""",Orthodox,"Jul 08, 1990",4.35,47%,3.24,54%,0.81,39%,73%,0.6,Mickey Gall,,Record: 7-7-0,"6' 2""",170 lbs.,"74""",Switch,"Jan 22, 1992",3.50,49%,4.72,49%,1.15,32%,37%,1.6
Joanna Jedrzejczyk,Rose Namajunas,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/fc29884851f9cebb,Joanna Jedrzejczyk,,Record: 16-5-0,"5' 6""",115 lbs.,"65""",Orthodox,"Aug 18, 1987",6.28,48%,3.25,62%,0.27,62%,80%,0.1,Rose Namajunas,Thug,Record: 14-7-0,"5' 5""",125 lbs.,"65""",Orthodox,"Jun 29, 1992",3.71,42%,3.48,63%,1.46,50%,61%,0.4
Ovince Saint Preux,Corey Anderson,UFC 217: Bisping vs. St-Pierre,fighter1,http://ufcstats.com/fight-details/5cab50839f4a0d94,Ovince Saint Preux,,Record: 27-18-0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",3.03,47%,3.33,47%,1.09,36%,67%,0.5,Corey Anderson,Overtime,Record: 14-5-0,"6' 3""",205 lbs.,"79""",Orthodox,"Sep 22, 1989",4.43,46%,2.22,59%,4.89,50%,83%,0.0
Stephen Thompson,Jorge Masvidal,UFC 217: Bisping vs. St-Pierre,fighter1,http://ufcstats.com/fight-details/80572cac6ab57866,Stephen Thompson,Wonderboy,Record: 17-8-1,"6' 0""",170 lbs.,"75""",Orthodox,"Feb 11, 1983",4.11,46%,3.02,55%,0.25,41%,63%,0.0,Jorge Masvidal,Gamebred,Record: 35-17-0,"5' 11""",170 lbs.,"74""",Orthodox,"Nov 12, 1984",4.05,47%,3.05,64%,1.38,59%,72%,0.3
Cody Garbrandt,TJ Dillashaw,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/b3a304eadb9f7fb4,Cody Garbrandt,No Love,Record: 14-6-0,"5' 8""",135 lbs.,"65""",Orthodox,"Jul 07, 1991",2.98,40%,3.76,60%,1.03,34%,80%,0.0,TJ Dillashaw,,Record: 18-5-0,"5' 6""",135 lbs.,"67""",Orthodox,"Feb 07, 1986",5.09,41%,3.47,62%,1.56,30%,77%,0.8
Marcelo Golm,Christian Colombo,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/4ffd88b2f00f4250,Marcelo Golm,,Record: 6-3-0,"6' 3""",249 lbs.,"75""",Orthodox,"Sep 15, 1992",4.27,58%,4.30,45%,0.45,50%,87%,0.5,Christian Colombo,,Record: 8-3-1,"6' 5""",265 lbs.,--,Orthodox,"Jul 01, 1980",2.76,44%,4.02,42%,0.00,0%,33%,0.0
Hacran Dias,Jared Gordon,UFC Fight Night: Brunson vs. Machida,fighter2,http://ufcstats.com/fight-details/f9e07282f3444d09,Hacran Dias,Barnabe,Record: 23-6-1,"5' 8""",155 lbs.,"69""",Orthodox,"Jun 16, 1984",2.08,41%,3.31,55%,2.50,39%,76%,0.5,Jared Gordon,Flash,Record: 20-7-0 (1 NC),"5' 9""",155 lbs.,"68""",Orthodox,"Sep 06, 1988",5.75,55%,3.97,56%,1.78,31%,62%,0.0
Deiveson Figueiredo,Jarred Brooks,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/e11e290d816c119b,Deiveson Figueiredo,Deus da Guerra,Record: 24-4-1,"5' 5""",135 lbs.,"68""",Orthodox,"Dec 18, 1987",2.91,54%,3.55,49%,1.62,34%,60%,1.4,Jarred Brooks,The Monkey God,Record: 13-2-0,"5' 3""",125 lbs.,"62""",Switch,"May 02, 1993",2.12,46%,1.66,62%,4.54,57%,69%,0.6
Antonio Carlos Junior,Jack Marshman,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/72d703db67371e1d,Antonio Carlos Junior,Cara de Sapato,Record: 11-5-0 (1 NC),"6' 2""",185 lbs.,"79""",Orthodox,"Mar 16, 1990",1.95,42%,2.14,52%,3.42,39%,53%,0.8,Jack Marshman,The Hammer,Record: 23-10-0,"6' 0""",185 lbs.,"73""",Orthodox,"Dec 19, 1989",2.74,25%,4.19,56%,0.00,0%,20%,0.0
John Lineker,Marlon Vera,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/d4eb3614c7734781,John Lineker,Hands of Stone,Record: 31-9-0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990",5.36,40%,4.27,56%,0.56,58%,67%,0.6,Marlon Vera,Chito,Record: 23-10-1,"5' 8""",135 lbs.,"70""",Switch,"Dec 02, 1992",4.27,49%,5.37,50%,0.51,39%,72%,0.8
Elizeu Zaleski dos Santos,Max Griffin,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/9dd9affa41eead4c,Elizeu Zaleski dos Santos,Capoeira,Record: 25-8-1,"5' 11""",170 lbs.,"73""",Orthodox,"Dec 11, 1986",4.33,41%,3.41,56%,0.70,20%,68%,0.5,Max Griffin,Pain,Record: 20-11-0,"5' 11""",170 lbs.,"76""",Orthodox,"Nov 29, 1985",3.75,48%,3.66,58%,1.37,40%,69%,0.3
Thiago Santos,Jack Hermansson,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/23ea24013d15c09c,Thiago Santos,Marreta,Record: 22-11-0,"6' 2""",205 lbs.,"76""",Orthodox,"Jan 07, 1984",3.72,48%,2.57,53%,0.88,33%,65%,0.1,Jack Hermansson,The Joker,Record: 24-8-0,"6' 1""",185 lbs.,"77""",Orthodox,"Jun 10, 1988",5.09,44%,3.69,56%,1.53,30%,80%,0.4
Michael Bisping,Georges St-Pierre,UFC 217: Bisping vs. St-Pierre,fighter2,http://ufcstats.com/fight-details/d361b51952944a26,Michael Bisping,The Count,Record: 30-9-0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",4.33,38%,2.71,65%,1.05,43%,63%,0.3,Georges St-Pierre,Rush,Record: 26-2-0,"5' 11""",185 lbs.,"76""",Orthodox,"May 19, 1981",3.78,53%,1.40,72%,4.16,74%,83%,1.1
Vicente Luque,Niko Price,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/4838bf4ca76c1c6b,Vicente Luque,The Silent Assassin,Record: 23-10-1,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991",5.05,51%,5.22,52%,0.99,53%,62%,0.7,Niko Price,The Hybrid,Record: 16-8-0 (2 NC),"6' 0""",170 lbs.,"76""",Orthodox,"Sep 29, 1989",5.21,42%,5.58,48%,1.04,29%,52%,0.7
Pedro Munhoz,Rob Font,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/0b557aeb2169b59f,Pedro Munhoz,The Young Punisher,Record: 20-10-0 (2 NC),"5' 6""",135 lbs.,"65""",Orthodox,"Sep 07, 1986",5.38,41%,6.29,55%,0.48,16%,82%,0.5,Rob Font,,Record: 22-8-0,"5' 8""",135 lbs.,"71""",Orthodox,"Jun 25, 1987",5.49,46%,3.67,57%,0.79,34%,42%,0.4
Francisco Trinaldo,Jim Miller,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/bed03663bc577f02,Francisco Trinaldo,Massaranduba,Record: 28-9-0,"5' 9""",170 lbs.,"70""",Southpaw,"Aug 24, 1978",3.13,45%,2.67,60%,0.98,42%,60%,0.5,Jim Miller,A-10,Record: 38-18-0 (1 NC),"5' 8""",155 lbs.,"71""",Southpaw,"Aug 30, 1983",2.99,42%,3.51,56%,1.52,44%,49%,1.7
Demian Maia,Colby Covington,UFC Fight Night: Brunson vs. Machida,fighter2,http://ufcstats.com/fight-details/7a5baef71925258c,Demian Maia,,Record: 28-11-0,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977",1.80,43%,2.07,63%,2.49,24%,61%,1.0,Colby Covington,Chaos,Record: 17-5-0,"5' 11""",170 lbs.,"72""",Orthodox,"Feb 22, 1988",3.81,38%,3.09,54%,3.64,42%,68%,0.2
Felipe Arantes,Josh Emmett,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/8b10419db5bffe28,Felipe Arantes,Sertanejo,Record: 18-10-1 (2 NC),"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",2.37,45%,2.66,64%,0.93,47%,41%,0.7,Josh Emmett,CC0,Record: 19-4-0,"5' 6""",145 lbs.,"70""",Orthodox,"Mar 04, 1985",4.04,36%,4.61,61%,0.91,37%,46%,0.1
Derek Brunson,Lyoto Machida,UFC Fight Night: Brunson vs. Machida,fighter1,http://ufcstats.com/fight-details/405c0b8d3960016d,Derek Brunson,The One,Record: 23-9-0,"6' 1""",185 lbs.,"77""",Southpaw,"Jan 04, 1984",3.51,47%,3.05,51%,3.14,33%,85%,0.6,Lyoto Machida,The Dragon,Record: 24-8-0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978",2.59,53%,1.57,61%,1.21,65%,75%,0.4
Lina Lansberg,Aspen Ladd,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/f3f252b9810cff0d,Lina Lansberg,Elbow Queen,Record: 10-8-0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982",2.69,55%,3.87,44%,0.52,27%,47%,0.1,Aspen Ladd,,Record: 9-3-0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995",3.78,47%,4.65,47%,1.56,47%,62%,0.6
Artem Lobov,Andre Fili,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/06287b822837a616,Artem Lobov,The Russian Hammer,Record: 13-15-1 (1 NC),"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986",3.52,41%,4.82,50%,0.39,25%,52%,0.0,Andre Fili,Touchy,Record: 24-12-0 (1 NC),"5' 11""",145 lbs.,"74""",Orthodox,"Jun 25, 1990",3.84,37%,4.15,51%,2.17,44%,70%,0.2
Damian Stasiak,Brian Kelleher,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/4dcd6ff5e32a3779,Damian Stasiak,Webster,Record: 10-6-0,"5' 5""",135 lbs.,"70""",Orthodox,"Feb 20, 1990",1.86,36%,3.10,52%,2.64,35%,43%,0.6,Brian Kelleher,Boom,Record: 24-16-0,"5' 6""",135 lbs.,"66""",Switch,"Aug 19, 1986",3.31,41%,4.59,54%,1.68,41%,60%,0.7
Marcin Held,Nasrat Haqparast,UFC Fight Night: Cerrone vs. Till,fighter1,http://ufcstats.com/fight-details/61070325bb440f58,Marcin Held,,Record: 23-7-0,"5' 9""",155 lbs.,"71""",Orthodox,"Jan 18, 1992",1.41,34%,2.02,47%,2.46,46%,37%,1.3,Nasrat Haqparast,,Record: 17-5-0,"5' 10""",155 lbs.,"72""",Southpaw,"Aug 22, 1995",6.15,44%,5.65,62%,0.28,20%,84%,0.0
Donald Cerrone,Darren Till,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/aa7b1fca60a21f3a,Donald Cerrone,Cowboy,Record: 36-17-0 (2 NC),"6' 1""",155 lbs.,"73""",Orthodox,"Mar 29, 1983",4.41,46%,4.48,53%,1.16,33%,73%,1.2,Darren Till,The Gorilla,Record: 18-5-1,"6' 0""",185 lbs.,"74""",Southpaw,"Dec 24, 1992",2.30,46%,3.31,56%,0.55,46%,69%,0.0
Jussier Formiga,Yuta Sasaki,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/3b89556b3f177b7b,Jussier Formiga,,Record: 23-8-0,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 14, 1985",1.42,39%,2.34,64%,1.82,35%,87%,0.6,Yuta Sasaki,Ulka,Record: 21-6-2,"5' 10""",125 lbs.,"71""",Southpaw,"Oct 07, 1989",2.16,41%,2.50,50%,3.03,43%,41%,1.2
Salim Touahri,Warlley Alves,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/88f36fa2945ccac5,Salim Touahri,Grizzly,Record: 10-4-0,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 28, 1989",2.60,46%,2.87,58%,0.00,0%,83%,0.0,Warlley Alves,,Record: 15-8-0,"5' 11""",185 lbs.,"72""",Orthodox,"Jan 04, 1991",3.04,48%,3.95,50%,1.22,50%,62%,0.8
Teruto Ishihara,Rolando Dy,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/6be073563a421bca,Teruto Ishihara,Yashabo,Record: 10-7-2,"5' 7""",135 lbs.,"69""",Southpaw,"Jul 23, 1991",3.26,44%,3.63,53%,0.50,16%,30%,0.0,Rolando Dy,Dy Incredible,Record: 9-7-1 (1 NC),"5' 8""",145 lbs.,"69""",Orthodox,"Aug 11, 1990",3.04,37%,4.47,52%,0.30,20%,68%,0.0
Oskar Piechota,Jonathan Wilson,UFC Fight Night: Cerrone vs. Till,fighter1,http://ufcstats.com/fight-details/fdfc700e56575d67,Oskar Piechota,Imadlo,Record: 11-3-1 (1 NC),"6' 0""",185 lbs.,"76""",Southpaw,"Jan 24, 1990",3.30,52%,3.93,51%,0.61,40%,38%,1.5,Jonathan Wilson,Johnny Bravo,Record: 7-3-0,"6' 2""",205 lbs.,"75""",Southpaw,"Jul 17, 1987",2.92,48%,5.65,56%,0.37,100%,80%,0.0
Keita Nakamura,Alex Morono,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/296cc69bcc3c1635,Keita Nakamura,K-Taro,Record: 34-10-2 (1 NC),"5' 11""",170 lbs.,"73""",Southpaw,"May 22, 1984",2.23,36%,3.20,58%,1.65,48%,63%,0.3,Alex Morono,The Great White,Record: 24-11-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Aug 16, 1990",4.96,40%,4.56,57%,0.34,25%,47%,0.3
Sam Alvey,Ramazan Emeev,UFC Fight Night: Cerrone vs. Till,fighter2,http://ufcstats.com/fight-details/9da4e06a403f0d27,Sam Alvey,Smile'N,Record: 33-18-1 (1 NC),"6' 2""",185 lbs.,"75""",Southpaw,"May 06, 1986",3.28,44%,3.63,52%,0.06,14%,82%,0.1,Ramazan Emeev,Gorets,Record: 20-6-0,"5' 10""",170 lbs.,"76""",Southpaw,"May 23, 1987",2.53,45%,2.14,65%,2.37,29%,66%,0.7
Jan Blachowicz,Devin Clark,UFC Fight Night: Cerrone vs. Till,fighter1,http://ufcstats.com/fight-details/6a315ef5bf22af29,Jan Blachowicz,,Record: 29-10-1,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",3.41,50%,2.91,53%,1.09,50%,68%,0.3,Devin Clark,Brown Bear,Record: 14-9-0,"6' 0""",205 lbs.,"75""",Orthodox,"Apr 12, 1990",3.03,54%,3.24,44%,2.17,32%,58%,0.1
Gokhan Saki,Henrique da Silva,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/690ab86bdd94149b,Gokhan Saki,The Rebel,Record: 1-2-0,"6' 0""",205 lbs.,"73""",Orthodox,"Oct 19, 1983",7.09,58%,4.57,53%,0.00,0%,100%,0.0,Henrique da Silva,Frankenstein,Record: 14-5-0,"6' 3""",205 lbs.,"76""",Orthodox,"Sep 01, 1989",3.89,60%,5.28,40%,0.25,14%,22%,0.2
Karolina Kowalkiewicz,Jodie Esquibel,UFC Fight Night: Cerrone vs. Till,fighter1,http://ufcstats.com/fight-details/d71ad0033de24fff,Karolina Kowalkiewicz,,Record: 16-9-0,"5' 3""",115 lbs.,"64""",Orthodox,"Oct 15, 1985",5.54,43%,5.51,57%,0.31,22%,74%,0.2,Jodie Esquibel,,Record: 6-6-0,"5' 1""",115 lbs.,"64""",Orthodox,"May 07, 1986",4.10,31%,7.37,52%,0.75,21%,83%,0.0
Ovince Saint Preux,Yushin Okami,UFC Fight Night: Saint Preux vs. Okami,fighter1,http://ufcstats.com/fight-details/d1bee15e60ee6721,Ovince Saint Preux,,Record: 27-18-0,"6' 3""",205 lbs.,"80""",Southpaw,"Apr 08, 1983",3.03,47%,3.33,47%,1.09,36%,67%,0.5,Yushin Okami,Thunder,Record: 34-12-0,"6' 2""",170 lbs.,"75""",Southpaw,"Jul 21, 1981",2.06,38%,2.25,60%,1.98,39%,84%,0.5
John Moraga,Bibulatov Magomed,UFC 216: Ferguson vs. Lee,fighter1,http://ufcstats.com/fight-details/3f5f6c576046bf77,John Moraga,,Record: 19-7-0,"5' 6""",125 lbs.,"66""",Orthodox,"Mar 20, 1984",2.57,43%,2.55,56%,0.62,23%,44%,1.1,Bibulatov Magomed,Chaborz,Record: 14-2-0,"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",3.60,51%,1.83,52%,2.85,40%,75%,0.0
Claudia Gadelha,Jessica Andrade,UFC Fight Night: Saint Preux vs. Okami,fighter2,http://ufcstats.com/fight-details/e8d59c27b467d716,Claudia Gadelha,Claudinha,Record: 18-5-0,"5' 4""",115 lbs.,"63""",Orthodox,"Dec 07, 1988",3.31,41%,4.57,57%,3.03,42%,58%,0.7,Jessica Andrade,Bate Estaca,Record: 26-13-0,"5' 1""",125 lbs.,"62""",Orthodox,"Sep 25, 1991",6.44,50%,5.51,54%,2.23,54%,72%,0.3
Takanori Gomi,Dong Hyun Ma,UFC Fight Night: Saint Preux vs. Okami,fighter2,http://ufcstats.com/fight-details/ba27835ff05df0c9,Takanori Gomi,The Fireball Kid,Record: 35-14-0 (1 NC),"5' 7""",155 lbs.,"70""",Southpaw,"Sep 22, 1978",3.81,41%,3.52,60%,1.23,65%,63%,0.8,Dong Hyun Ma,Maestro,Record: 16-11-3,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988",2.84,41%,4.10,54%,1.27,53%,33%,0.0
Matt Schnell,Marco Beltran,UFC 216: Ferguson vs. Lee,fighter1,http://ufcstats.com/fight-details/d97970009fbfca30,Matt Schnell,Danger,Record: 16-9-0 (1 NC),"5' 8""",125 lbs.,"70""",Orthodox,"Jan 15, 1990",4.39,39%,4.64,55%,0.56,40%,50%,1.0,Marco Beltran,Psycho,Record: 8-6-0,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",2.07,37%,1.93,63%,0.70,50%,46%,0.2
Lando Vannata,King Green,UFC 216: Ferguson vs. Lee,,http://ufcstats.com/fight-details/c46d51fb87a4f485,Lando Vannata,Groovy,Record: 12-7-2,"5' 9""",155 lbs.,"71""",Orthodox,"Mar 14, 1992",4.52,45%,4.76,55%,1.09,37%,69%,0.3,King Green,,Record: 32-16-1 (1 NC),"5' 10""",155 lbs.,"71""",Orthodox,"Sep 09, 1986",6.43,53%,3.73,62%,1.23,39%,74%,0.3
Beneil Dariush,Evan Dunham,UFC 216: Ferguson vs. Lee,,http://ufcstats.com/fight-details/2fed4f1d91767eb1,Beneil Dariush,,Record: 22-6-1,"5' 10""",155 lbs.,"72""",Southpaw,"May 06, 1989",3.78,48%,2.65,57%,1.90,34%,80%,0.9,Evan Dunham,,Record: 18-9-1,"5' 10""",155 lbs.,"70""",Southpaw,"Dec 18, 1981",5.33,39%,3.54,61%,1.82,33%,79%,1.0
Fabricio Werdum,Walt Harris,UFC 216: Ferguson vs. Lee,fighter1,http://ufcstats.com/fight-details/53ee6c3591483193,Fabricio Werdum,Vai Cavalo,Record: 24-9-1,"6' 4""",231 lbs.,"77""",Orthodox,"Jul 30, 1977",3.59,52%,2.64,55%,1.75,31%,31%,1.2,Walt Harris,The Big Ticket,Record: 13-10-0 (1 NC),"6' 5""",250 lbs.,"77""",Southpaw,"Jun 10, 1983",3.05,39%,3.33,54%,0.29,28%,70%,0.1
Pearl Gonzalez,Poliana Botelho,UFC 216: Ferguson vs. Lee,fighter2,http://ufcstats.com/fight-details/0f826e7bbb73b53f,Pearl Gonzalez,,Record: 6-3-0,"5' 4""",115 lbs.,--,Orthodox,"Aug 12, 1986",2.23,37%,4.07,57%,1.04,11%,0%,0.5,Poliana Botelho,,Record: 8-5-0,"5' 8""",125 lbs.,"67""",Orthodox,"Dec 15, 1988",2.90,58%,2.80,54%,0.85,57%,76%,0.0
Tom Duquesnoy,Cody Stamann,UFC 216: Ferguson vs. Lee,fighter2,http://ufcstats.com/fight-details/e08479759c296bb1,Tom Duquesnoy,Fire Kid,Record: 16-2-0 (1 NC),"5' 7""",135 lbs.,"68""",Orthodox,"Jun 21, 1993",3.83,45%,5.30,62%,0.42,25%,46%,0.0,Cody Stamann,The Spartan,Record: 21-8-1,"5' 6""",135 lbs.,"64""",Orthodox,"Nov 09, 1989",4.32,46%,3.91,60%,2.17,37%,76%,0.0
Demetrious Johnson,Ray Borg,UFC 216: Ferguson vs. Lee,fighter1,http://ufcstats.com/fight-details/d042d18ad568190a,Demetrious Johnson,Mighty Mouse,Record: 27-3-1,"5' 3""",125 lbs.,"66""",Orthodox,"Aug 13, 1986",3.43,54%,1.66,67%,3.35,56%,65%,0.5,Ray Borg,The Tazmexican Devil,Record: 13-5-0,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",1.52,52%,1.93,48%,3.89,50%,46%,1.0
Tony Ferguson,Kevin Lee,UFC 216: Ferguson vs. Lee,fighter1,http://ufcstats.com/fight-details/03aec9073946907f,Tony Ferguson,El Cucuy,Record: 26-11-0,"5' 11""",170 lbs.,"76""",Orthodox,"Feb 12, 1984",4.91,45%,4.37,55%,0.39,35%,66%,0.9,Kevin Lee,The Motown Phenom,Record: 18-8-0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992",3.88,42%,3.60,50%,3.18,43%,75%,0.8
Mara Romero Borella,Kalindra Faria,UFC 216: Ferguson vs. Lee,fighter1,http://ufcstats.com/fight-details/1ff3dff34d0b60b8,Mara Romero Borella,,Record: 12-9-0 (2 NC),"5' 6""",125 lbs.,"69""",Orthodox,"Jun 03, 1986",2.54,37%,2.48,71%,1.83,44%,66%,0.2,Kalindra Faria,,Record: 18-8-1,"5' 7""",125 lbs.,--,Switch,"Jul 23, 1986",2.23,56%,1.44,45%,1.31,66%,20%,0.7
Kajan Johnson,Adriano Martins,UFC 215: Nunes vs Shevchenko 2,fighter1,http://ufcstats.com/fight-details/cce5b9dfe84630fa,Kajan Johnson,Ragin',Record: 23-13-1,"5' 11""",155 lbs.,"75""",Orthodox,"Apr 21, 1984",2.47,42%,1.59,64%,1.54,37%,62%,0.2,Adriano Martins,,Record: 28-9-0,"5' 10""",155 lbs.,"72""",Southpaw,"Dec 16, 1982",1.80,38%,2.14,65%,0.83,80%,81%,0.4
Mitch Clarke,Alex White,UFC 215: Nunes vs Shevchenko 2,fighter2,http://ufcstats.com/fight-details/31c4518a1e71c050,Mitch Clarke,Danger Zone,Record: 11-5-0,"5' 10""",155 lbs.,"73""",Orthodox,"Nov 24, 1985",2.35,34%,3.27,47%,0.64,15%,50%,0.4,Alex White,The Spartan,Record: 13-6-0,"6' 0""",155 lbs.,"71""",Southpaw,"Oct 22, 1988",3.76,42%,3.07,60%,0.92,28%,71%,0.5
Luis Henrique,Arjan Bhullar,UFC 215: Nunes vs Shevchenko 2,fighter2,http://ufcstats.com/fight-details/7020840980f723b9,Luis Henrique,KLB,Record: 10-5-0 (1 NC),"6' 2""",243 lbs.,"74""",Orthodox,"Aug 21, 1993",1.81,43%,2.22,47%,3.09,36%,50%,1.0,Arjan Bhullar,,Record: 9-1-0,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",2.33,56%,3.25,59%,1.73,75%,100%,0.0
Gavin Tucker,Ricky Glenn,UFC 215: Nunes vs Shevchenko 2,fighter2,http://ufcstats.com/fight-details/f597d2e69ab7c270,Gavin Tucker,Guv'nor,Record: 13-3-0,"5' 6""",145 lbs.,"66""",Southpaw,"Jun 17, 1986",4.29,44%,4.18,57%,3.13,44%,53%,1.5,Ricky Glenn,The Gladiator,Record: 22-9-2,"6' 0""",170 lbs.,"70""",Southpaw,"Apr 12, 1989",3.79,42%,4.30,51%,0.72,13%,69%,0.4
Sara McMann,Ketlen Vieira,UFC 215: Nunes vs Shevchenko 2,fighter2,http://ufcstats.com/fight-details/92eb0a297c7ea197,Sara McMann,,Record: 13-6-0,"5' 6""",135 lbs.,"66""",Orthodox,"Sep 24, 1980",2.26,46%,1.92,47%,4.38,65%,50%,0.5,Ketlen Vieira,Fenomeno,Record: 14-4-0,"5' 8""",135 lbs.,"68""",Orthodox,"Aug 26, 1991",2.92,41%,3.90,51%,1.39,44%,88%,0.6
Jeremy Stephens,Gilbert Melendez,UFC 215: Nunes vs Shevchenko 2,fighter1,http://ufcstats.com/fight-details/94c7e64ce88c9b9e,Jeremy Stephens,Lil' Heathen,Record: 28-19-0 (1 NC),"5' 9""",145 lbs.,"71""",Orthodox,"May 25, 1986",3.17,40%,3.05,58%,1.16,38%,65%,0.4,Gilbert Melendez,El Nino,Record: 22-8-0,"5' 9""",145 lbs.,"73""",Orthodox,"Apr 12, 1982",3.44,33%,2.53,63%,1.64,41%,71%,0.2
Sarah Moras,Ashlee Evans-Smith,UFC 215: Nunes vs Shevchenko 2,fighter1,http://ufcstats.com/fight-details/a773883743242df9,Sarah Moras,Cheesecake,Record: 6-8-0,"5' 7""",135 lbs.,"67""",Orthodox,"Apr 30, 1988",2.28,34%,3.58,50%,0.67,21%,33%,0.8,Ashlee Evans-Smith,Rebel Girl,Record: 6-6-0,"5' 8""",135 lbs.,"67""",Orthodox,"Jul 09, 1987",4.03,34%,4.59,53%,0.95,22%,50%,0.0
Neil Magny,Rafael Dos Anjos,UFC 215: Nunes vs Shevchenko 2,fighter2,http://ufcstats.com/fight-details/b6082b551288aa5a,Neil Magny,The Haitian Sensation,Record: 29-14-0,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987",3.43,46%,2.48,51%,2.12,38%,53%,0.2,Rafael Dos Anjos,,Record: 32-17-0,"5' 8""",170 lbs.,"70""",Southpaw,"Oct 26, 1984",3.48,47%,3.23,60%,1.95,35%,54%,0.6
Henry Cejudo,Wilson Reis,UFC 215: Nunes vs Shevchenko 2,fighter1,http://ufcstats.com/fight-details/fdde8777c7ae9769,Henry Cejudo,Triple C,Record: 16-5-0,"5' 4""",135 lbs.,"64""",Orthodox,"Feb 09, 1987",3.82,47%,3.46,59%,1.84,31%,76%,0.1,Wilson Reis,,Record: 23-10-0,"5' 4""",125 lbs.,"65""",Southpaw,"Jan 06, 1985",1.83,29%,3.04,55%,5.15,42%,47%,0.6
